PN_order,model,pade_num_degree,pade_den_degree,pade_label,sigma_power,a_max,S_max,M_at_max,J_at_max,chi_at_max,Ebind_at_max,a_merger_NR,delta_a,cost_Ebind,cost_chi,nfev_Ebind,nfev_chi,a_extrap_min,a_extrap_max,n_extrap,n_physical_points,physical_fraction,flags,status,error
2PN,Padé [2/2],2,2,Padé [2/2],3.0,3.9178917891789187,10.93885224200788,0.9859361497392521,0.5947348089388095,0.6118229685527122,-0.014063850260747749,3.141313659672962,0.7765781295059568,1.1333822769188373e-11,2.846147539870003e-09,6,18,1.0,15.0,10000,10000,1.0,OK,success,
2PN,Padé [2/2],2,2,Padé [2/2],4.0,3.923492349234923,10.938291080551478,0.9859706844687236,0.5950495227639446,0.6121038433612657,-0.01402931553127625,3.141313659672962,0.7821786895619613,5.018652160515558e-12,1.1923253495638164e-09,6,17,1.0,15.0,10000,10000,1.0,OK,success,
2PN,Padé [3/2],3,2,Padé [3/2],1.0,3.899689968996899,10.935902025801612,0.9864429780985354,0.59825675898956,0.6148138502711014,-0.013557021901464515,3.141313659672962,0.7583763093239373,1.2276402117095131e-11,5.973057604080623e-10,1,1209,1.0,15.0,10000,10000,1.0,OK,success,
2PN,Padé [3/2],3,2,Padé [3/2],2.0,3.892689268926892,10.936250639826264,0.9864586248188519,0.5982753937329832,0.6148134965403751,-0.013541375181147898,3.141313659672962,0.7513756092539303,4.912292794756468e-12,2.7206237263044386e-10,1,649,1.0,15.0,10000,10000,1.0,OK,success,
2PN,Padé [3/2],3,2,Padé [3/2],3.0,3.8814881488148814,10.936799757496377,0.986467364006805,0.5982134394366292,0.6147389374629462,-0.013532635993194887,3.141313659672962,0.7401744891419195,1.9164669851079452e-12,1.3745626858963078e-10,1,419,1.0,15.0,10000,10000,1.0,OK,success,
2PN,Padé [3/2],3,2,Padé [3/2],4.0,3.8044804480448047,10.941195635647919,0.9863858482205977,0.5968456947951405,0.6134347862184427,-0.013614151779402155,3.141313659672962,0.6631667883718428,6.750155989720952e-13,2.3528445858289615e-10,1,56,1.0,15.0,10000,10000,1.0,OK,success,
2PN,Padé [4/2],4,2,Padé [4/2],1.0,3.765276527652766,10.94035634075371,0.9867915630928947,0.59934788747204,0.6155000939123706,-0.01320843690710515,3.141313659672962,0.6239628679798042,0.0,4.434230760352875e-13,1,14,1.0,15.0,10000,10000,1.0,OK,success,
2PN,Padé [4/2],4,2,Padé [4/2],2.0,3.8198819881988193,10.938272137784102,0.9868361037562446,0.6000274964502069,0.6161423953942491,-0.013163896243755245,3.141313659672962,0.6785683285258575,0.0,8.837375276016246e-14,1,16,1.0,15.0,10000,10000,1.0,OK,success,
2PN,Padé [4/2],4,2,Padé [4/2],3.0,3.7988798879887984,10.939041757646864,0.9868166213671897,0.5997592741892362,0.6158912874551157,-0.013183378632810142,3.141313659672962,0.6575662283158366,0.0,0.0,1,15,1.0,15.0,10000,10000,1.0,OK,success,
2PN,Padé [4/2],4,2,Padé [4/2],4.0,3.8660866086608667,10.93634487930852,0.9868745552645853,0.6006393621156568,0.6167226324649911,-0.013125444735414509,3.141313659672962,0.7247729489879049,0.0,1.1968204205459188e-13,1,19,1.0,15.0,10000,10000,1.0,OK,success,
